name,developer,upvotes,downvotes,wisher
Firefox,,316,18,gang65
WhatsApp Messenger,WhatsApp Inc.,258,80,bhdouglass
VLC Media Player,VideoLAN,212,1,danslerush
LibreOffice (Convergence),The Document Foundation,178,3,danslerush
CalDav/CardDav Management GUI,,154,2,danslerush
uNav GPS that works completely offline (downloadalble maps per country),,146,0,jos-vh67
skype (with video calls),Skype Technologies,134,32,User 7064f6a1-ced4-420d-aa1e-39045e55f65c
browser with ad-blocker (or such extension for default browser),,118,5,User 7064f6a1-ced4-420d-aa1e-39045e55f65c
Spotify,Spotify,114,20,extraymond
ownCloud File Client,,101,3,f4tmike
"Better calendar app with improved design, quality and the ability to sync multiple calendars.",,97,0,rainer-knappe
Full ownCloud integration,,84,2,amirmasoud
an XMPP client,,74,0,ruben-maes96
Better camera app,,71,0,User 96508a26-be0d-4799-9a5c-e41acb88132c
GIMP Touch,The GIMP Team,69,0,danslerush
Google Chrome,Google Inc.,69,43,bhdouglass
Dropbox,Dropbox Inc.,67,16,bhdouglass
Hangout client with video calling ,Google,66,23,s-d-wood-82
Facebook Messenger,Facebook,62,57,bhdouglass
Telegram Messenger,Telegram LLP/LLC,54,1,User ee25ce6a-eddb-425e-a945-f4426c3001eb
Shazam,,51,10,migueltejel-i
Twitter,"Twitter, Inc.",50,24,kristijan-zic
Waze,,47,6,talzion12
Calibre,,47,0,User 3e846631-5577-4598-8229-c0ab6defdc7a
Thunderbird (email client),,43,2,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Instagram,,40,23,uzbeka
TeamViewer,,40,5,User e6ac7cb1-931d-45fe-b9ce-27c6aace6513
"image editor with crop, rotate, resize, basic filters and effects etc.",,40,1,User 7064f6a1-ced4-420d-aa1e-39045e55f65c
OsmAnd,OsmAnd,40,0,User 4465859e-3262-4afb-873b-4536ddb53611
Tor,"The Tor Project, Inc.",39,0,User 901c8db0-9bc6-4ea4-8a59-de22c8bfa731
Viber,,37,8,drkgabor
KeePassDroid,Brian Pellin ,37,1,jelmorini
FM radio tuner,,35,1,drkgabor
OpenVPN,,35,0,5o-ubuntu-fq
Google Plus,Google,33,35,sturmflut
WhatsApp,,32,29,emanueleant03
Youtube,Google,31,5,orcheko
Caldav-sync,,28,0,hjartberg
Office suite (with pdf conversion),,26,3,User 7064f6a1-ced4-420d-aa1e-39045e55f65c
"Firefox Hello (video calls), native integration in Ubuntu Touch",,26,1,gleppert
Audio Recorder,,26,0,User 8adafacf-b42a-4a14-8cd2-e08cf7151b54
" Conversations (Jabber / XMPP)",,26,0,User b72a56f9-20af-4119-8758-6c5c29e22f31
Facebook ,Facebook ,26,32,s-d-wood-82
Bitcoin Wallet (full featured),Bitcoin Wallet developers,24,2,User da609fa4-f7f9-469d-a575-1be92e295dad
panoramic photo capturing app,,24,3,User 7064f6a1-ced4-420d-aa1e-39045e55f65c
Kodi,Kodi,23,0,yhervouette
SIP client,,23,0,enrique-garcia
"Dekko - Security Features integration (For instance, Enigmail offers PGP signing, encryption, and decryption. Secure/Multipurpose Internet Mail Extensions. TLS/SSL.",,23,0,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Kindle,Amazon Mobile LLC,22,9,dean-che
Running App (GPS tracking),,22,0,ilonka-o
Threema Messergen App,,22,0,wolle3
SoundCloud (Native) Stream & Download,,21,1,tim-sueberkrueb
CamScanner,,21,0,User 03a11d1e-5b25-4264-8141-6e0fd68c981d
Opera,© Opera Software ASA,21,3,User 8adafacf-b42a-4a14-8cd2-e08cf7151b54
Native IRC client,,21,0,tim-sueberkrueb
Signal,Open Whisper Systems,20,0,User 1de9c8bf-a0ac-4fe8-85ed-a0d3884c7328
Guitar tuner,,20,0,talzion12
MEGA cloud,,20,0,User 27c9442b-20cc-4813-be06-4273b918a9b3
Tor browser and tor service,,20,0,User 6630789a-0001-4fd1-8d44-0fb25a1cedef
Pidgin,,19,0,mangnoppa
Uber,Uber Technologies Inc.,19,6,arkreuz
Linphone,,19,0,User c122c7f8-f2e1-42c9-8866-75691acdfa6f
Diaspora native app,,18,0,User da609fa4-f7f9-469d-a575-1be92e295dad
Trello,,17,0,talzion12
X11 apps via XMir,,17,1,User 901c8db0-9bc6-4ea4-8a59-de22c8bfa731
Endomondo,Endomondo.com,17,0,aitzol76
compass app,,17,1,User 7064f6a1-ced4-420d-aa1e-39045e55f65c
Textsecure (native support for textsecure.jani),,17,0,gleppert
Here,HERE Apps LLC,16,0,ruysabino
Steam,Valve,16,1,User 901c8db0-9bc6-4ea4-8a59-de22c8bfa731
Snapchat ,,16,13,flavio-augusto
Netflix,,16,2,maxpeynne
VNC Client/Server,,15,0,User e6ac7cb1-931d-45fe-b9ce-27c6aace6513
Popcorn Time,Popcorn Time Community,15,2,User 87259ef0-11d2-45eb-b943-aa14eeae7eb5
Duolingo,Duolingo,15,1,s0rceress0
stellarium,,15,0,User 9f8d0f31-7489-43ac-8328-8f3fd0382283
SpiderOakONE,"SpiderOak, Inc.",14,0,kristijan-zic
Chromecast,google,14,2,dhandhelen-s
